,city,lat,temp_max,lon,humidity,clouds,wind,country,dt
0,provideniya,64.3833,5.36,-173.3,94,100,4.55,RU,1629380244
1,abu zabad,12.35,32.48,29.25,46,76,5.78,SD,1629380490
2,faya,18.3851,24.29,42.4509,41,79,4.68,SA,1629380610
3,jamestown,42.097,22.94,-79.2353,88,90,3.11,US,1629380270
4,san jeronimo,-11.9472,10.94,-75.2829,58,10,0.62,PE,1629380611
5,kruisfontein,-34.0033,13.27,24.7314,57,100,3.86,ZA,1629380238
6,ahipara,-35.1667,10.85,173.1667,77,33,3.52,NZ,1629380505
7,castro,-24.7911,25.36,-50.0119,39,0,4.44,BR,1629380281
8,nikolskoye,59.7035,17.94,30.7861,67,93,5.78,RU,1629380274
9,atuona,-9.8,24.91,-139.0333,75,16,7.22,PF,1629380264
10,albany,42.6001,24.79,-73.9662,95,100,3.15,US,1629379964
11,atar,20.5169,39.67,-13.0499,24,64,7.12,MR,1629380507
12,ushuaia,-54.8,-0.19,-68.3,86,75,12.35,AR,1629380254
13,severo-kurilsk,50.6789,12.46,156.125,87,91,2.65,RU,1629380354
14,mahebourg,-20.4081,24.16,57.7,53,20,5.14,MU,1629380431
15,asfi,32.2994,24.07,-9.2372,66,8,8.69,MA,1629380275
16,mar del plata,-38.0023,11.01,-57.5575,100,90,5.66,AR,1629380101
17,aurangabad,19.8833,22.05,75.3333,100,90,1.54,IN,1629380613
18,ribeira grande,38.5167,24.22,-28.7,88,40,3.6,PT,1629380253
19,inuvik,68.3499,6.02,-133.7218,96,75,2.57,CA,1629380613
20,ketchikan,55.3422,13.79,-131.6461,98,99,0.74,US,1629380309
21,mataura,-46.1927,6.38,168.8643,96,56,2.39,NZ,1629380243
22,jaisalmer,26.9147,37.4,70.9181,23,0,4.52,IN,1629380448
23,cidreira,-30.1811,25.82,-50.2056,55,0,3.84,BR,1629380292
24,cumana,10.4635,27.05,-64.1775,68,69,1.14,VE,1629380614
25,karpinsk,59.7654,26.06,60.0085,55,54,1.16,RU,1629380615
26,ust-maya,60.4167,15.94,134.5333,79,100,1.72,RU,1629380615
